depart	name	number	units
Architecture (ARCH)	Professional Practice Colloquium	207C	1
Architecture (ARCH)	The Cultures of Practice	207D	3
Architecture (ARCH)	Special Topics in Architectural Design	209	1
Architecture (ARCH)	Theory and Methods in the Social and Cultural Basis of Design	211	3
Architecture (ARCH)	Body-Conscious Design: Shoes, Chairs, Rooms, and Beyond	212	3
Architecture (ARCH)	Landscape, Architecture, Infrastructure, and Urbanism	215	3
Architecture (ARCH)	The Sociology of Taste in Environmental Design	216	3
Architecture (ARCH)	Social Aspects of Housing Design: Mid-Rise Urbanism	217	3
Architecture (ARCH)	Housing, Urbanization, and Urbanism: Design, Planning, and Policy Issues in Developing Countries	218	4
Architecture (ARCH)	Special Topics in the Social and Cultural Basis of Design	219	1
Architecture (ARCH)	Graduate Seminar in Digital Design Theories and Methods	221	3
Architecture (ARCH)	Principles of Computer Aided Architectural Design	222	4
Architecture (ARCH)	Collaboration by Digital Design	226	3
Architecture (ARCH)	Workshop in Designing Virtual Places	227	4
Architecture (ARCH)	Special Topics in Digital Design Theories and Methods	229	1
Architecture (ARCH)	Introduction to Construction Law	229A	1
Architecture (ARCH)	Advanced Architectural Design Theory and Criticism	230	3
Architecture (ARCH)	Research Methods in Architectural Design Theory and Criticism	231	2
Architecture (ARCH)	Architectures of Globalization: Contested Spaces of Global Culture	233	3
Architecture (ARCH)	The Literature of Space	236	3
Architecture (ARCH)	Ulterior Speculation: Monographs and Manifestos	237	3
Architecture (ARCH)	The Dialectic of Poetics and Technology	238	3
Architecture (ARCH)	Special Topics in Architecture Design Theory and Criticism	239	1
Architecture (ARCH)	Advanced Study of Energy and Environment	240	3
Architecture (ARCH)	Research Methods in Building Sciences	241	3
Architecture (ARCH)	Sustainability Colloquium	242	1
Architecture (ARCH)	Natural Cooling: Sustainable Design for a Warming Planet	243	3
Architecture (ARCH)	The Secret Life of Buildings	244	3
Architecture (ARCH)	Daylighting	245	3
Architecture (ARCH)	Special Topics in the Physical Environment in Buildings	249	1
Architecture (ARCH)	Seismic Design and Construction	253	3
Architecture (ARCH)	Structure, Construction, and Space	255	3
Architecture (ARCH)	Structural Design in the Studio	256	1
Architecture (ARCH)	Special Topics in Building Structures	259	1
Architecture (ARCH)	Special Topics: Building Structures	259X	1
Architecture (ARCH)	Introduction to Construction, Graduate Level	260	3
Architecture (ARCH)	Architecture in Detail	262	3
Architecture (ARCH)	Off-Site Fabrication: Opportunities and Evils	264	3
Architecture (ARCH)	Japanese Craft and Construction	265	3
Architecture (ARCH)	Special Topics in Construction and Materials	269	1
Architecture (ARCH)	History of Modern Architecture	270	3
Architecture (ARCH)	Methods in Historical Research and Criticism in Architecture	271	4
Architecture (ARCH)	Case Studies in Modern Architecture	273	3
Architecture (ARCH)	Introduction to Architectural Theory 1945 - Present	275	3
Architecture (ARCH)	Spaces of Recreation and Leisure, 1850-2000	276	3
Architecture (ARCH)	Visionary Architecture	278	3
Architecture (ARCH)	Special Topics in the History of Architecture	279	1
Architecture (ARCH)	Methods of Inquiry in Architectural Research	281	4
Architecture (ARCH)	Special Group Study	298	1
Architecture (ARCH)	Individual Study and Research for Master's and Doctoral Students	299	1
Architecture (ARCH)	Seminar in the Teaching of Architecture	375	2
Architecture (ARCH)	Individual Study for Doctoral Students	602	1
Japanese (JAPAN)	Intensive Elementary Japanese	1	10
Japanese (JAPAN)	Elementary Japanese	1A	5
Japanese (JAPAN)	Supplementary Work in Listening-Elementary	1AL	1
Japanese (JAPAN)	Supplementary Work in Kanji	1AS	1
Japanese (JAPAN)	Elementary Japanese	1B	5
Japanese (JAPAN)	Supplementary Work in Listening-Elementary	1BL	1
Japanese (JAPAN)	Supplementary Work in Kanji	1BS	1
Japanese (JAPAN)	Introduction to Premodern Japanese Literature and Culture	7A	4
Japanese (JAPAN)	Introduction to Modern Japanese Literature and Culture	7B	4
Japanese (JAPAN)	Intensive Intermediate Japanese	10	10
Japanese (JAPAN)	Intermediate Japanese	10A	5
Japanese (JAPAN)	Supplementary Work in Grammar - Intermediate	10AG	1
Japanese (JAPAN)	Supplementary Work in Kanji - Intermediate	10AS	1
Japanese (JAPAN)	Intermediate Japanese	10B	5
Japanese (JAPAN)	Supplementary Work in Grammar - Intermediate	10BG	1
Japanese (JAPAN)	Supplementary Work in Kanji-Intermediate	10BS	1
Japanese (JAPAN)	Intermediate Japanese for Heritage Learners	10X	5
Japanese (JAPAN)	Freshman Seminar	24	1
Japanese (JAPAN)	Japanese Culture	80	4
Japanese (JAPAN)	Sophomore Seminar	84	1
Japanese (JAPAN)	Directed Group Study for Lower Division Students	98	1
Japanese (JAPAN)	Independent Study for Lower Division Students	99	1
Japanese (JAPAN)	Intensive Advanced Japanese	100	10
Japanese (JAPAN)	Advanced Japanese	100A	5
Japanese (JAPAN)	Advanced Japanese	100B	5
Japanese (JAPAN)	Japanese for Sinologists	100S	4
Japanese (JAPAN)	Advanced Japanese for Heritage Learners	100X	5
Japanese (JAPAN)	Fourth-Year Readings: Social Sciences	101	4
Japanese (JAPAN)	Fourth-Year Readings: Japanese Culture	102	4
Japanese (JAPAN)	Fourth-Year Readings: Japanese Literature	103	4
Japanese (JAPAN)	Fourth-Year Readings: Japanese History	104	4
Japanese (JAPAN)	Fifth-Year Readings: Reading and Analysis of Advanced Japanese Texts	111	4
Japanese (JAPAN)	Fifth-Year Readings: Japanese for Research and Professional Use	112	4
Japanese (JAPAN)	Japanese Buddhism	C115	4
Japanese (JAPAN)	Introduction to the Religions of Japan	116	4
Japanese (JAPAN)	Introduction to Classical Japanese	120	4
Japanese (JAPAN)	Classical Japanese Poetry	130	4
Japanese (JAPAN)	Premodern Japanese Diary (Nikki) Literature	132	4
Japanese (JAPAN)	Heian Prose	140	4
Japanese (JAPAN)	Introductory Readings in Japanese Buddhist Texts	C141	4
Japanese (JAPAN)	Edo Literature	144	4
Japanese (JAPAN)	Japanese Historical Documents	146	4
Japanese (JAPAN)	Modern Japanese Literature	155	4
Japanese (JAPAN)	Contemporary Japanese Literature	159	4
Japanese (JAPAN)	Introduction to Japanese Linguistics: Grammar	160	4
Japanese (JAPAN)	Introduction to Japanese Linguistics: Usage	161	4
Japanese (JAPAN)	Translation: Theory and Practice	163	4
Japanese (JAPAN)	Classical Japanese Literature in Translation	170	4
Japanese (JAPAN)	Modern Japanese Literature in Translation	173	4
Japanese (JAPAN)	Archaeology and Japanese Identities	C176	4
Japanese (JAPAN)	Urami: Rancor and Revenge in Japanese Literature	177	4
Japanese (JAPAN)	Ghosts and the Modern Literary Imagination	180	4
Japanese (JAPAN)	Reframing Disasters: Fukushima, Before and After	181	4
Japanese (JAPAN)	Introduction to Japanese Cinema	185	4
Japanese (JAPAN)	Japanese Visual Culture: Introduction to Anime	188	4
Japanese (JAPAN)	Topics in Japanese Film	189	4
Japanese (JAPAN)	Honors Course	H195A	2
Japanese (JAPAN)	Honors Course	H195B	2
Japanese (JAPAN)	Directed Group Study	198	1
Japanese (JAPAN)	Independent Study	199	1
Japanese (JAPAN)	Readings in Japanese Buddhist Texts	C225	2
Japanese (JAPAN)	Seminar in Classical Japanese Poetry	230	2
Japanese (JAPAN)	Japanese Studies: Past, Present... and Future?	C231	2
Japanese (JAPAN)	Japanese Bibliography	232	2
Japanese (JAPAN)	Seminar in Classical Japanese Drama	234	2
Japanese (JAPAN)	Seminar in Classical Japanese Texts	240	2
Japanese (JAPAN)	Seminar in Prewar Japanese Literature	255	2
Japanese (JAPAN)	Seminar in Postwar Japanese Literature	259	2
Japanese (JAPAN)	Directed Study for Graduate Students	298	1
Japanese (JAPAN)	Thesis Preparation and Related Research	299	1
Japanese (JAPAN)	Individual Study for Master's Students	601	1
Japanese (JAPAN)	Individual Study for Doctoral Students	602	1
Bulgarian (BULGARI)	Introductory Bulgarian	28A	5
Bulgarian (BULGARI)	Introductory Bulgarian	28B	5
Bulgarian (BULGARI)	Continuing Bulgarian	118A	4
Bulgarian (BULGARI)	Continuing Bulgarian	118B	4
College Writing Programs (COLWRIT)	Grammar and Vocabulary of Written English	1	2
College Writing Programs (COLWRIT)	Writing in the University	N1	2
College Writing Programs (COLWRIT)	Accelerated Reading and Composition	N1A	5
College Writing Programs (COLWRIT)	Accelerated Reading and Composition	R1A	6
College Writing Programs (COLWRIT)	Grammar and Vocabulary of Written English (Web-based)	W1	2
College Writing Programs (COLWRIT)	Writing the Bridge: From High School to the University	N2	3
College Writing Programs (COLWRIT)	Reading and Composition	R4A	4
College Writing Programs (COLWRIT)	Reading, Composition, and Research	R4B	4
College Writing Programs (COLWRIT)	English through Broadway Musicals	5A	3
College Writing Programs (COLWRIT)	English through Drama	5B	3
College Writing Programs (COLWRIT)	English Through Film	5C	3
College Writing Programs (COLWRIT)	English Through Literature	5D	3
College Writing Programs (COLWRIT)	English Through Popular Music	5E	3
College Writing Programs (COLWRIT)	English, Research, and Human Rights	5F	3
College Writing Programs (COLWRIT)	English, Research, and Multicultural California	5G	3
College Writing Programs (COLWRIT)	English, Research, and Sustainability	5H	3
College Writing Programs (COLWRIT)	Television, Culture, and Communication	5I	3
College Writing Programs (COLWRIT)	Language, Culture, and Consumerism	5J	3
College Writing Programs (COLWRIT)	Culture, Communication, and the Media	5K	3
College Writing Programs (COLWRIT)	English and the Environment	5L	3
College Writing Programs (COLWRIT)	English Language Studies: Academic Speaking	6A	2
College Writing Programs (COLWRIT)	English Language Studies: Academic Vocabulary	6B	2
College Writing Programs (COLWRIT)	English Language Studies: Business Vocabulary	6C	2
College Writing Programs (COLWRIT)	English Language Studies: Grammar and Editing	6E	2
College Writing Programs (COLWRIT)	English Language Studies: Listening and Speaking	6F	2
College Writing Programs (COLWRIT)	English Language Studies: Writing for New Media	6G	2
College Writing Programs (COLWRIT)	English Language Studies: Writing Creative Non-Fiction	6H	2
College Writing Programs (COLWRIT)	English Language Studies: Conflict Resolution Skills	6I	2
College Writing Programs (COLWRIT)	English Language Studies: Academic Test Preparation	6J	2
College Writing Programs (COLWRIT)	English Language Studies: Academic Reading and Writing	6K	2
College Writing Programs (COLWRIT)	English Language Studies: American Language and Culture: English Language Studies: American Culture through the Media	7A	1
College Writing Programs (COLWRIT)	English Language Studies: American Language and Culture: English Language Studies: The Beat Generation	7B	1
College Writing Programs (COLWRIT)	English Language Studies: American Language and Culture: English Language Studies: Business and Social Entrepreneurship	7C	1
College Writing Programs (COLWRIT)	English Language Studies: Food Culture in the U.S.	7D	1
College Writing Programs (COLWRIT)	Language, Culture & Environmental Issues in the U.S.	7E	1
College Writing Programs (COLWRIT)	English Language Studies: American Language and Culture: English Language Studies: City and Community	7G	1
College Writing Programs (COLWRIT)	English Language Studies: American Language and Culture: English Language Studies: Popular Music in the U.S.	7H	1
College Writing Programs (COLWRIT)	English Language Studies: American Language and Culture: English Language Studies: California History	7I	1
College Writing Programs (COLWRIT)	English Language Studies: American Language and Culture: English Language Studies: California Culture	7J	1
College Writing Programs (COLWRIT)	English Language Studies: Understanding American Culture through Humor	7K	1
College Writing Programs (COLWRIT)	English Language and Culture: American Sports and Games	7L	1
College Writing Programs (COLWRIT)	English for Academic and Professional Purposes	8	4
College Writing Programs (COLWRIT)	English as a Second Language: English for Specific Purposes: Academic Research	9A	3
College Writing Programs (COLWRIT)	English as a Second Language: English for Specific Purposes: Academic Vocabulary	9B	3
College Writing Programs (COLWRIT)	Academic Writing for Multilingual Students	9C	3
College Writing Programs (COLWRIT)	English as a Second Language: English for Specific Purposes: Business English	9E	3
College Writing Programs (COLWRIT)	English as a Second Language: English for Specific Purposes: Business Speaking	9F	3
College Writing Programs (COLWRIT)	Medical English	9G	3
College Writing Programs (COLWRIT)	English for Specific Purposes: Communication Skills for Conflict Resolution	9I	3
College Writing Programs (COLWRIT)	English for Specific Purposes: English Grammar and Academic Writing Style	9J	3
College Writing Programs (COLWRIT)	English as a Second Language: English for Specific Purposes: Legal English and U.S. Law	9N	3
College Writing Programs (COLWRIT)	English as a Second Language: English for Specific Purposes: English for Specific Purposes: Legal Writing	9O	3
College Writing Programs (COLWRIT)	English for Specific Purposes: Conflict Resolution for Business, Law, and International Relations	9P	3
College Writing Programs (COLWRIT)	English for Academic and Public Speaking	9R	3
College Writing Programs (COLWRIT)	English as a Second Language: English for Specific Purposes: Pronunciation	9S	3
College Writing Programs (COLWRIT)	English as a Second Language: English for Specific Purposes: English for Science and Engineering	9V	3
College Writing Programs (COLWRIT)	English for Specific Purposes: English for Speech and Debate	9W	3
College Writing Programs (COLWRIT)	English as a Second Language: English for Specific Purposes	W9	2
College Writing Programs (COLWRIT)	English for Storytelling in the Arts and Sciences	9XX	3
College Writing Programs (COLWRIT)	English through Creative Writing	9Y	3
College Writing Programs (COLWRIT)	Introduction to Public Speaking	10A	3
College Writing Programs (COLWRIT)	Advanced Public Speaking	10B	3
College Writing Programs (COLWRIT)	Communicating in Class: Advanced Listening and Speaking for International Students	20	3
College Writing Programs (COLWRIT)	Advanced Listening and Speaking for International Students: Conflict Management for Academic Success at the University	21	3
College Writing Programs (COLWRIT)	Reading in and about U.S. Education Institutions	25AC	3
College Writing Programs (COLWRIT)	Researching Water in the West: Its Presence, Its Absence, and Its Consequences for the Peoples of California	50AC	3
College Writing Programs (COLWRIT)	Directed Group Study	98	1
College Writing Programs (COLWRIT)	Supervised Independent Study	99	1
College Writing Programs (COLWRIT)	Intermediate Writing: Finding Your Voice with Others	105	3
College Writing Programs (COLWRIT)	Intermediate Composition: Argument in the Disciplines	106	3
College Writing Programs (COLWRIT)	Advanced Composition: New Media	108	3
College Writing Programs (COLWRIT)	Academic Writing for Multilingual Students	109C	3
College Writing Programs (COLWRIT)	Advanced Composition: Challenging Writing	110	4
College Writing Programs (COLWRIT)	Issues in Teaching English Internationally	121	3
College Writing Programs (COLWRIT)	Introduction to the Craft of Creative Writing	130	4
College Writing Programs (COLWRIT)	Introduction to the Craft of Creative Nonfiction	131	3
College Writing Programs (COLWRIT)	Introduction to the Craft of Short Fiction	132	3
College Writing Programs (COLWRIT)	Introduction to the Craft of Dramatic Writing	133	3
College Writing Programs (COLWRIT)	Readings on Creative Writing	140A	3
College Writing Programs (COLWRIT)	Seminar-Workshop in Creative Writing	140B	3
College Writing Programs (COLWRIT)	Seminar-Workshop on Creative Writing: The Novel	141	3
College Writing Programs (COLWRIT)	Researching Water in the West: Its Presence, Its Absence, and Its Consequences for the Peoples of California	150AC	3
College Writing Programs (COLWRIT)	Introduction to Principles of Professional Communication	151	3
College Writing Programs (COLWRIT)	Advanced Professional Communication	152	3
College Writing Programs (COLWRIT)	Writing in the Biological Sciences	161	3
College Writing Programs (COLWRIT)	Travel Writing	180	3
College Writing Programs (COLWRIT)	Global London	181	4
College Writing Programs (COLWRIT)	Curating Global London	W181	2
College Writing Programs (COLWRIT)	Advanced Composition: Community-Based Ethics	192AC	3
College Writing Programs (COLWRIT)	Directed Group Study	198	1
College Writing Programs (COLWRIT)	Supervised Independent Study	199	1
College Writing Programs (COLWRIT)	Practicum in Teaching English as a Second Language	310	3
College Writing Programs (COLWRIT)	Introduction to Theories and Practices of Teaching College Composition	375	2
Development Engineering (DEV ENG)	Design, Evaluate, and Scale Development Technologies	C200	3
Development Engineering (DEV ENG)	Development Engineering Research and Practice Seminar	210	2
Development Engineering (DEV ENG)	Advanced Special Topics in Development Engineering	290	1
Science and Technology Studies (STS)	Introduction to Science, Technology, and Society	C100	4
Science and Technology Studies (STS)	Topics in Science and Technology Studies	C200	3
Science and Technology Studies (STS)	Science and Technology Studies Research Seminar	C250	3
Civil and Environmental Engineering (CIV ENG)	Engineered Systems and Sustainability	11	3
Civil and Environmental Engineering (CIV ENG)	Freshman Seminars	24	1
Civil and Environmental Engineering (CIV ENG)	Introduction to Solid Mechanics	C30	3
Civil and Environmental Engineering (CIV ENG)	Introduction to Solid Mechanics	W30	3
Civil and Environmental Engineering (CIV ENG)	Structure and Properties of Civil Engineering Materials	60	3
Civil and Environmental Engineering (CIV ENG)	Engineering Geology	70	3
Civil and Environmental Engineering (CIV ENG)	Data Science for Smart Cities	88	2
Civil and Environmental Engineering (CIV ENG)	Time Series Analysis: Sea Level Rise and Coastal Flooding	88B	2
Civil and Environmental Engineering (CIV ENG)	Introduction to Civil and Environmental Engineering	92	1
Civil and Environmental Engineering (CIV ENG)	Engineering Data Analysis	93	3
Civil and Environmental Engineering (CIV ENG)	Supervised Group Study and Research	98	1
Civil and Environmental Engineering (CIV ENG)	Supervised Independent Study and Research	99	1
Civil and Environmental Engineering (CIV ENG)	Elementary Fluid Mechanics	100	4
Civil and Environmental Engineering (CIV ENG)	Fluid Mechanics of Rivers, Streams, and Wetlands	101	3
Civil and Environmental Engineering (CIV ENG)	Introduction to Hydrology	103	3
Civil and Environmental Engineering (CIV ENG)	Environmental Fluid Mechanics and Hydrology	105	3
Civil and Environmental Engineering (CIV ENG)	Air Pollution	C106	3
Civil and Environmental Engineering (CIV ENG)	Climate Change Mitigation	107	3
Civil and Environmental Engineering (CIV ENG)	Water Systems and Society	110	3
Civil and Environmental Engineering (CIV ENG)	Environmental Engineering	111	3
Civil and Environmental Engineering (CIV ENG)	Water and Air Quality Laboratory	111L	1
Civil and Environmental Engineering (CIV ENG)	Environmental Engineering Design	112	3
Civil and Environmental Engineering (CIV ENG)	Ecological Engineering for Water Quality Improvement	113	3
Civil and Environmental Engineering (CIV ENG)	Environmental Microbiology	114	3
Civil and Environmental Engineering (CIV ENG)	Water Chemistry	115	3
Civil and Environmental Engineering (CIV ENG)	Chemistry of Soils	C116	3
Civil and Environmental Engineering (CIV ENG)	Structural Engineering	120	3
Civil and Environmental Engineering (CIV ENG)	Structural Analysis	121	3
Civil and Environmental Engineering (CIV ENG)	Structural Steel Design Project	122L	1
Civil and Environmental Engineering (CIV ENG)	Design of Steel Structures	122N	3
Civil and Environmental Engineering (CIV ENG)	Structural Concrete Design Project	123L	1
Civil and Environmental Engineering (CIV ENG)	Design of Reinforced Concrete Structures	123N	3
Civil and Environmental Engineering (CIV ENG)	Structural Design in Timber	124	3
Civil and Environmental Engineering (CIV ENG)	Mechanics of Structures	130N	3
Civil and Environmental Engineering (CIV ENG)	Engineering Analysis Using the Finite Element Method	C133	3
Civil and Environmental Engineering (CIV ENG)	Failure Mechanisms in Civil Engineering Materials	140	3
Civil and Environmental Engineering (CIV ENG)	Transportation Facility Design	153	3
Civil and Environmental Engineering (CIV ENG)	Transportation Systems Engineering	155	3
Civil and Environmental Engineering (CIV ENG)	Infrastructure Planning and Management	156	3
Civil and Environmental Engineering (CIV ENG)	Concrete Materials, Construction, and Sustainability	165	3
Civil and Environmental Engineering (CIV ENG)	Construction Engineering	166	3
Civil and Environmental Engineering (CIV ENG)	Engineering Project Management	167	3
Civil and Environmental Engineering (CIV ENG)	Rock Mechanics	171	3
Civil and Environmental Engineering (CIV ENG)	Groundwater and Seepage	173	3
Civil and Environmental Engineering (CIV ENG)	Engineering Geomatics	174	3
Civil and Environmental Engineering (CIV ENG)	Geotechnical and Geoenvironmental Engineering	175	3
Civil and Environmental Engineering (CIV ENG)	Environmental Geotechnics	176	3
Civil and Environmental Engineering (CIV ENG)	Foundation Engineering Design	177	3
Civil and Environmental Engineering (CIV ENG)	Applied Geophysics	C178	3
Civil and Environmental Engineering (CIV ENG)	Life-Cycle Design and Construction	180	4
Civil and Environmental Engineering (CIV ENG)	Design of Cyber-Physical Systems	186	3
Civil and Environmental Engineering (CIV ENG)	Special Topics in Civil and Environmental Engineering	190	1
Civil and Environmental Engineering (CIV ENG)	Civil and Environmental Engineering Systems Analysis	191	3
Civil and Environmental Engineering (CIV ENG)	The Art and Science of Civil and Environmental Engineering Practice	192	1
Civil and Environmental Engineering (CIV ENG)	Engineering Risk Analysis	193	3
Civil and Environmental Engineering (CIV ENG)	Honors Undergraduate Research	H194	3
Civil and Environmental Engineering (CIV ENG)	Field Studies in Civil Engineering	197	1
Civil and Environmental Engineering (CIV ENG)	Directed Group Study for Advanced Undergraduates	198	1
Civil and Environmental Engineering (CIV ENG)	Supervised Independent Study	199	1
Civil and Environmental Engineering (CIV ENG)	Environmental Fluid Mechanics	200A	3
Civil and Environmental Engineering (CIV ENG)	Numerical Methods for Environmental Flow Modeling	200B	3
Civil and Environmental Engineering (CIV ENG)	Transport and Mixing in the Environment	200C	3
Civil and Environmental Engineering (CIV ENG)	Vadose Zone Hydrology	202A	3
Civil and Environmental Engineering (CIV ENG)	Graduate Hydrology	203A	3
Civil and Environmental Engineering (CIV ENG)	Surface Water Hydrology	203N	3
Civil and Environmental Engineering (CIV ENG)	Margins of Quality for Engineered Systems	205B	3
Civil and Environmental Engineering (CIV ENG)	Design for Sustainable Communities	209	3
Civil and Environmental Engineering (CIV ENG)	Control of Water-Related Pathogens	210	3
Civil and Environmental Engineering (CIV ENG)	Environmental Physical-Chemical Processes	211A	3
Civil and Environmental Engineering (CIV ENG)	Environmental Biological Processes	211B	3
Civil and Environmental Engineering (CIV ENG)	Watersheds and Water Quality	213	3
Civil and Environmental Engineering (CIV ENG)	Environmental Chemical Kinetics	217	3
Civil and Environmental Engineering (CIV ENG)	Air Quality Engineering	218A	3
Civil and Environmental Engineering (CIV ENG)	Atmospheric Aerosols	218B	3
Civil and Environmental Engineering (CIV ENG)	Air Pollution Modeling	218C	3
Civil and Environmental Engineering (CIV ENG)	Structural Analysis Theory and Applications	220	3
Civil and Environmental Engineering (CIV ENG)	Nonlinear Structural Analysis	220N	3
Civil and Environmental Engineering (CIV ENG)	Nonlinear Structural Analysis	221	3
Civil and Environmental Engineering (CIV ENG)	Finite Element Methods	222	3
Civil and Environmental Engineering (CIV ENG)	Earthquake Protective Systems	223	3
Civil and Environmental Engineering (CIV ENG)	Introduction to Earthquake Engineering	W224A	3
Civil and Environmental Engineering (CIV ENG)	Linear Analysis of Structural and Geotechnical Systems	W224B	3
Civil and Environmental Engineering (CIV ENG)	Earthquake Geotechnical Engineering	W224C	3
Civil and Environmental Engineering (CIV ENG)	Nonlinear Analysis of Structural and Geotechnical Systems	W224D	3
Civil and Environmental Engineering (CIV ENG)	Earthquake Resistant Design	W224E	2
Civil and Environmental Engineering (CIV ENG)	Risk Analysis and Decision Making	W224F	2
Civil and Environmental Engineering (CIV ENG)	Earthquake Resistant Concrete Structures	W224G	2
Civil and Environmental Engineering (CIV ENG)	Earthquake-Resistant Steel Structures	W224H	2
Civil and Environmental Engineering (CIV ENG)	Dynamic Response of Foundations/Soil-Structure Interaction	W224I	2
Civil and Environmental Engineering (CIV ENG)	Performance-Based Earthquake Engineering	W224J	2
Civil and Environmental Engineering (CIV ENG)	Dynamics of Structures	225	3
Civil and Environmental Engineering (CIV ENG)	Stochastic Structural Dynamics	226	3
Civil and Environmental Engineering (CIV ENG)	Earthquake-Resistant Design	227	3
Civil and Environmental Engineering (CIV ENG)	Advanced Earthquake Analysis	228	3
Civil and Environmental Engineering (CIV ENG)	Structural System Reliability	229	3
Civil and Environmental Engineering (CIV ENG)	Mechanics of Solids	C231	3
Civil and Environmental Engineering (CIV ENG)	Structural Mechanics	232	3
Civil and Environmental Engineering (CIV ENG)	Computational Mechanics	233	3
Civil and Environmental Engineering (CIV ENG)	Computational Inelasticity	234	3
Civil and Environmental Engineering (CIV ENG)	Introduction to Statistical Mechanics for Engineers	C235	3
Civil and Environmental Engineering (CIV ENG)	Micromechanics	C236	3
Civil and Environmental Engineering (CIV ENG)	Computational Nano-mechanics	C237	3
Civil and Environmental Engineering (CIV ENG)	Civil Engineering Materials	240	3
Civil and Environmental Engineering (CIV ENG)	Concrete Technology	241	3
Civil and Environmental Engineering (CIV ENG)	Reinforced Concrete Structures	244	3
Civil and Environmental Engineering (CIV ENG)	Behavior of Reinforced Concrete	245	3
Civil and Environmental Engineering (CIV ENG)	Prestressed Concrete Structures	246	3
Civil and Environmental Engineering (CIV ENG)	Design of Steel and Composite Structures	247	3
Civil and Environmental Engineering (CIV ENG)	Behavior and Plastic Design of Steel Structures	248	3
Civil and Environmental Engineering (CIV ENG)	Experimental Methods in Structural Engineering	249	3
Civil and Environmental Engineering (CIV ENG)	Transportation Policy and Planning	C250N	3
Civil and Environmental Engineering (CIV ENG)	Operation of Transportation Facilities	251	3
Civil and Environmental Engineering (CIV ENG)	Systems Analysis in Transportation	252	3
Civil and Environmental Engineering (CIV ENG)	Intelligent Transportation Systems	253	3
Civil and Environmental Engineering (CIV ENG)	Transportation Economics	254	3
Civil and Environmental Engineering (CIV ENG)	Highway Traffic Operations	255	3
Civil and Environmental Engineering (CIV ENG)	Transportation Sustainability	256	3
Civil and Environmental Engineering (CIV ENG)	Logistics	258	3
Civil and Environmental Engineering (CIV ENG)	Supply Chain and Logistics Management	C258	3
Civil and Environmental Engineering (CIV ENG)	Public Transportation Systems	259	3
Civil and Environmental Engineering (CIV ENG)	Air Transportation	260	3
Civil and Environmental Engineering (CIV ENG)	Infrastructure Systems Management	261	3
Civil and Environmental Engineering (CIV ENG)	Analysis of Transportation Data	262	3
Civil and Environmental Engineering (CIV ENG)	Operations of Transportation Terminals	263	3
Civil and Environmental Engineering (CIV ENG)	Scalable Spatial Analytics	263N	3
Civil and Environmental Engineering (CIV ENG)	Behavioral Modeling for Engineering, Planning, and Policy Analysis	264	3
Civil and Environmental Engineering (CIV ENG)	Traffic Safety and Injury Control	C265	3
Civil and Environmental Engineering (CIV ENG)	Lean Construction Concepts and Methods	268A	3
Civil and Environmental Engineering (CIV ENG)	Lean Construction and Supply Chain Management	268B	3
Civil and Environmental Engineering (CIV ENG)	Law for Engineers	268D	3
Civil and Environmental Engineering (CIV ENG)	Civil Systems and the Environment	268E	3
Civil and Environmental Engineering (CIV ENG)	Advanced Project Planning and Control	268H	3
Civil and Environmental Engineering (CIV ENG)	Business Fundamentals for Engineers	268I	3
Civil and Environmental Engineering (CIV ENG)	Human and Organizational Factors: Quality and Reliability of Engineered Systems	268K	3
Civil and Environmental Engineering (CIV ENG)	Advanced Geomechanics	270	3
Civil and Environmental Engineering (CIV ENG)	Sensors and Signal Interpretation	271	3
Civil and Environmental Engineering (CIV ENG)	Numerical Modelling in Geomechanics	272	3
Civil and Environmental Engineering (CIV ENG)	Advanced GeoEngineering Testing and Design	273	3
Civil and Environmental Engineering (CIV ENG)	Geotechnical Earthquake Engineering	275	3
Civil and Environmental Engineering (CIV ENG)	Seismic Hazard Analysis and Design Ground Motions	C276	3
Civil and Environmental Engineering (CIV ENG)	Advanced Foundation Engineering	277	3
Civil and Environmental Engineering (CIV ENG)	Engineering Geology	281	3
Civil and Environmental Engineering (CIV ENG)	Seismic Methods in Applied Geophysics	285C	3
Civil and Environmental Engineering (CIV ENG)	Digital Data Processing	286	3
Civil and Environmental Engineering (CIV ENG)	Embedded System Design: Modeling, Analysis, and Synthesis	C289	4
Civil and Environmental Engineering (CIV ENG)	Advanced Special Topics in Civil and Environmental Engineering	290	1
Civil and Environmental Engineering (CIV ENG)	Transportation and Land Use Planning	C290U	3
Civil and Environmental Engineering (CIV ENG)	Advanced Topics in Seismology	290F	3
Civil and Environmental Engineering (CIV ENG)	Civil Systems: Control and Information Management	290I	3
Civil and Environmental Engineering (CIV ENG)	Advanced Topics in Geotechnical Engineering	290J	3
Civil and Environmental Engineering (CIV ENG)	Advanced Topics in Transportation Theory	290T	1
Civil and Environmental Engineering (CIV ENG)	Control and Optimization of Distributed Parameters Systems	C291F	3
Civil and Environmental Engineering (CIV ENG)	Advanced Estimation, Control, and Optimization of Partial Differential Equations	291G	3
Civil and Environmental Engineering (CIV ENG)	Technologies for Sustainable Societies	292A	1
Civil and Environmental Engineering (CIV ENG)	Energy Systems and Control	295	3
Civil and Environmental Engineering (CIV ENG)	Field Studies in Civil and Environmental Engineering	297	1
Civil and Environmental Engineering (CIV ENG)	Group Studies, Seminars, or Group Research	298	1
